ddate,IRR,STD
1996-10-25,1366.3,0.5
1996-10-28,1365.2,0.4
1996-11-06,1365,0.4
1996-11-08,1365,0.6
1996-11-20,1365,0.5
1996-12-04,1364.8,0.1
1996-12-07,1365.3,0.3
1996-12-18,1364.7,0.4
1997-01-01,1365.1,0.6
1997-01-04,1365.2,0.5
1997-01-15,1364.6,0.4
1997-01-17,1365.1,0.2
1997-01-30,1364.9,0.5
1997-02-12,1364.4,0.3
1997-02-14,1365.7,0.2
1997-02-26,1365.1,0.1
1997-03-12,1365.7,0.2
1997-03-18,1365.2,0.1
1997-03-20,1364.7,0.2
1997-03-26,1364.7,0
1997-04-09,1365,0.1
1997-04-22,1364.5,0.1
1997-04-24,1365.1,0.2
1997-05-07,1365.4,0.3
1997-05-19,1364.7,0.4
1997-05-21,1364.9,0.4
1997-06-02,1364.8,0.3
1997-06-05,1364.7,0
1997-06-18,1365,0.4
1997-07-02,1365.1,0
1997-07-04,1365.7,0.5
1997-07-16,1365.1,0.2
1997-07-30,1365.1,0.4
1997-08-08,1365.4,0
1997-08-10,1365.2,0.4
1997-08-11,1365.2,0.4
1997-08-12,1365,0.4
1997-08-13,1365.8,0.8
1997-08-14,1365.4,0.1
1997-08-16,1365.4,0.3
1997-08-17,1365.3,0
1997-08-18,1365.7,0.3
1997-08-19,1365.3,0.3
1997-08-20,1365.3,0.3
1997-08-21,1365.2,0.3
1997-08-22,1365.3,0.2
1997-08-23,1365.2,0.6
1997-08-24,1365.1,0.2
1997-08-27,1365.3,0.1
1997-09-10,1363.8,0.4
1997-09-14,1364.9,0.7
1997-09-17,1364.9,0.2
1997-09-24,1365.1,0.1
1997-09-25,1365.4,0.1
1997-10-08,1365.3,0.2
1997-10-21,1365.7,0
1997-10-23,1365.3,0.3
1997-10-31,1365,0.5
1997-11-04,1364.6,0.2
1997-11-17,1365.2,0.5
1997-11-20,1365,0.5
1997-11-30,1365.1,0
1997-12-02,1365.5,0.3
1997-12-03,1365.1,0.5
1997-12-17,1365.3,0.2
1997-12-29,1365.4,0
1997-12-31,1365.3,0.3
1998-01-13,1365.1,0.3
1998-01-26,1365.1,0.4
1998-01-28,1365.2,0.3
1998-01-31,1365.4,0
1998-02-08,1365.3,0
1998-02-10,1365.1,0
1998-02-25,1364.9,0.4
1998-04-17,1365.9,0.2
1998-04-21,1366.2,0
1998-05-03,1364.6,0.4
1998-05-16,1365.1,0.3
1998-05-28,1365,0
1998-06-01,1365.7,0.3
1998-06-17,1365.3,0.2
1998-06-27,1364.9,0.4
1998-06-30,1365.6,0.3
1998-07-13,1365.7,0.4
1998-07-27,1365,0.1
1998-07-31,1365.6,0.2
1998-08-07,1366.4,0.4
1998-08-11,1365,0.5
1998-08-26,1365.6,0.2
1998-08-31,1365,0.1
1998-09-10,1365.1,0.1
1998-09-13,1365.6,0.4
1998-09-23,1365.1,0.2
1998-09-30,1365.8,0.3
1998-10-07,1365.6,0.1
1998-10-16,1365,0.4
1998-10-19,1365.4,0
1998-10-21,1365.8,0.5
1998-10-29,1365.3,0.5
1998-10-31,1366,0.3
1998-11-02,1365.9,0.7
1998-11-03,1366.1,0.1
